"game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",1,"rock",3234,"scissors",2962.91298516649,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",2,"scissors",4464,"paper",2934.05069208577,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",3,"scissors",2397,"rock",2334.81966448491,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",4,"rock",3023,"scissors",1782.90164643244,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",5,"rock",2674,"paper",1192.43604930398,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",6,"rock",2422,"rock",2534.44578966472,"tie"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",7,"paper",2264,"scissors",2417.05852048553,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",8,"scissors",1815,"paper",2902.29692939738,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",9,"scissors",1189,"rock",2451.4834729814,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",10,"rock",2646,"scissors",987.313635590036,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",11,"rock",2735,"paper",1145.60233909668,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",12,"rock",1871,"rock",2456.56620455739,"tie"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",13,"rock",2124,"scissors",2898.49461857209,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",14,"scissors",1283,"paper",648.055776890712,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",15,"scissors",1173,"rock",798.85517763397,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",16,"paper",1262,"scissors",1653.72046652773,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",17,"paper",827,"paper",2082.31477337195,"tie"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",18,"scissors",2029,"rock",2128.13440036882,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",19,"rock",1724,"scissors",800.721019560757,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",20,"rock",1058,"rock",1155.26922290656,"tie"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",21,"rock",991,"scissors",902.561906525995,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",22,"scissors",1029,"paper",1217.79256070781,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",23,"paper",2539,"rock",2052.0506558846,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",24,"paper",907,"scissors",2193.96791055018,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",25,"paper",1262,"scissors",1127.15752705939,"ai"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",26,"scissors",1154,"paper",2329.71550320487,"human"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d",2018-07-17 20:47:39,"38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2","75","60","To be different each time and mix up or possibly copy my choices ","rps",27,"scissors",1102,"rock",1133.85969336667,"ai"
